# TMM+ASM Intensity at z=40, theta=20.0 deg
# Wavelength: 520 nm, CG: 550um n=1.52
# AR: SiO2(34.6)/TiO2(25.9)/SiO2(20.7)/TiO2(169.5) nm
# Columns: x_um	intensity
# N_points: 4096
0.0000	0.63616741
0.1231	0.60930395
0.2462	0.60946304
0.3692	0.60466444
0.4923	0.58362120
0.6154	0.60492414
0.7385	0.61090589
0.8615	0.62214094
0.9846	0.67581451
1.1077	0.69954044
1.2308	0.67879647
1.3538	0.64629352
1.4769	0.63928938
1.6000	0.62538797
1.7231	0.60966790
1.8462	0.60770798
1.9692	0.58600736
2.0923	0.59402758
2.2154	0.60886586
2.3385	0.60933506
2.4615	0.65206122
2.5846	0.70006996
2.7077	0.68436146
2.8308	0.65788352
2.9538	0.65097868
3.0769	0.63263494
3.2000	0.61822653
3.3231	0.61243248
3.4462	0.60213262
3.5692	0.57879484
3.6923	0.59107482
3.8154	0.61193049
3.9385	0.62705714
4.0615	0.68158579
4.1846	0.68317246
4.3077	0.67245966
4.4308	0.66795206
4.5538	0.63618815
4.6769	0.63048202
4.8000	0.62841898
4.9231	0.61929154
5.0462	0.57466727
5.1692	0.57039124
5.2923	0.60989732
5.4154	0.61051041
5.5385	0.64545596
5.6615	0.67899811
5.7846	0.67880452
5.9077	0.67376119
6.0308	0.65095770
6.1538	0.64374411
6.2769	0.64891398
6.4000	0.63489920
6.5231	0.58986646
6.6462	0.56577605
6.7692	0.59094536
6.8923	0.59985739
7.0154	0.61261719
7.1385	0.66188395
7.2615	0.67188251
7.3846	0.66249335
7.5077	0.66851366
7.6308	0.66239226
7.7538	0.66032147
7.8769	0.65602666
8.0000	0.62190896
8.1231	0.58071911
8.2462	0.57402593
8.3692	0.58706576
8.4923	0.59833181
8.6154	0.62845278
8.7385	0.65193939
8.8615	0.64334404
8.9846	0.66240108
9.1077	0.68230802
9.2308	0.66464043
9.3538	0.67737818
9.4769	0.66050589
9.6000	0.61090255
9.7231	0.58253843
9.8462	0.57796282
9.9692	0.59817249
10.0923	0.59786445
10.2154	0.62379146
10.3385	0.62105381
10.4615	0.62861538
10.5846	0.67994505
10.7077	0.66985065
10.8308	0.68460280
10.9538	0.68830854
11.0769	0.65339494
11.2000	0.61286891
11.3231	0.59117258
11.4462	0.60670066
11.5692	0.59194070
11.6923	0.60109842
11.8154	0.59606761
11.9385	0.59239179
12.0615	0.63741124
12.1846	0.66675830
12.3077	0.67491710
12.4308	0.68717265
12.5538	0.69143367
12.6769	0.64664036
12.8000	0.62916279
12.9231	0.62825954
13.0462	0.61494529
13.1692	0.60387868
13.2923	0.58194941
13.4154	0.57394427
13.5385	0.58105326
13.6615	0.63804615
13.7846	0.65169185
13.9077	0.65683419
14.0308	0.69270945
14.1538	0.66850615
14.2769	0.66094756
14.4000	0.66162664
14.5231	0.65878367
14.6462	0.63368684
14.7692	0.59931707
14.8923	0.58218157
15.0154	0.56110096
15.1385	0.59129393
15.2615	0.62023962
15.3846	0.62197518
15.5077	0.64418548
15.6308	0.65798056
15.7538	0.65640438
15.8769	0.68485856
16.0000	0.69590074
16.1231	0.66707194
16.2462	0.64808112
16.3692	0.62139380
16.4923	0.59212655
16.6154	0.57158178
16.7385	0.60490292
16.8615	0.60790735
16.9846	0.58146900
17.1077	0.60898846
17.2308	0.62366664
17.3538	0.66367608
17.4769	0.68604410
17.6000	0.68400395
17.7231	0.68495458
17.8462	0.66737139
17.9692	0.64548439
18.0923	0.61219132
18.2154	0.62975657
18.3385	0.62101799
18.4615	0.57022852
18.5846	0.56427753
18.7077	0.58928096
18.8308	0.60612613
18.9538	0.62924618
19.0769	0.66845465
19.2000	0.66235220
19.3231	0.67030251
19.4462	0.67668861
19.5692	0.67395455
19.6923	0.67475861
19.8154	0.65722370
19.9385	0.63282311
20.0615	0.57887810
20.1846	0.58258176
20.3077	0.58346558
20.4308	0.58297777
20.5538	0.62083799
20.6769	0.60432827
20.8000	0.61508375
20.9231	0.64748770
21.0462	0.67948031
21.1692	0.68865037
21.2923	0.68474138
21.4154	0.69439495
21.5385	0.64644456
21.6615	0.62318003
21.7846	0.62899768
21.9077	0.60659885
22.0308	0.59991729
22.1538	0.58467108
22.2769	0.56207103
22.4000	0.57897717
22.5231	0.62328833
22.6462	0.64792275
22.7692	0.65167773
22.8923	0.67333013
23.0154	0.68276519
23.1385	0.66734850
23.2615	0.67834687
23.3846	0.68072087
23.5077	0.65248913
23.6308	0.62739825
23.7538	0.58934355
23.8769	0.56537569
