# TMM+ASM Intensity at z=40, theta=30.0 deg
# Wavelength: 520 nm, CG: 550um n=1.52
# AR: SiO2(34.6)/TiO2(25.9)/SiO2(20.7)/TiO2(169.5) nm
# Columns: x_um	intensity
# N_points: 4096
0.0000	0.62799156
0.1231	0.61261958
0.2462	0.60016930
0.3692	0.59529716
0.4923	0.57731223
0.6154	0.59603655
0.7385	0.59572744
0.8615	0.59998429
0.9846	0.61943996
1.1077	0.62239760
1.2308	0.61858141
1.3538	0.60195971
1.4769	0.57557988
1.6000	0.56990820
1.7231	0.59652817
1.8462	0.60311216
1.9692	0.62245417
2.0923	0.62349939
2.2154	0.61228162
2.3385	0.61507285
2.4615	0.58878994
2.5846	0.56826973
2.7077	0.57742190
2.8308	0.58997267
2.9538	0.62038952
3.0769	0.63656378
3.2000	0.62466854
3.3231	0.61055821
3.4462	0.59504378
3.5692	0.56835693
3.6923	0.57249057
3.8154	0.58867121
3.9385	0.60125881
4.0615	0.63883561
4.1846	0.62648737
4.3077	0.62482560
4.4308	0.60546577
4.5538	0.57524717
4.6769	0.56161648
4.8000	0.57410383
4.9231	0.59968460
5.0462	0.63023925
5.1692	0.64374202
5.2923	0.61292970
5.4154	0.61397529
5.5385	0.58759689
5.6615	0.57239723
5.7846	0.57186973
5.9077	0.57532740
6.0308	0.61404610
6.1538	0.64454627
6.2769	0.63653654
6.4000	0.61198336
6.5231	0.59219337
6.6462	0.57202733
6.7692	0.58018535
6.8923	0.58484864
7.0154	0.58986282
7.1385	0.62578702
7.2615	0.63065308
7.3846	0.62670469
7.5077	0.61160296
7.6308	0.57907563
7.7538	0.57595730
7.8769	0.58378309
8.0000	0.59061313
8.1231	0.61139488
8.2462	0.62278748
8.3692	0.61500329
8.4923	0.61564374
8.6154	0.60343885
8.7385	0.58650577
8.8615	0.59354371
8.9846	0.58245188
9.1077	0.59195226
9.2308	0.61390519
9.3538	0.60808998
9.4769	0.61850274
9.6000	0.60574853
9.7231	0.60152674
9.8462	0.60086185
9.9692	0.60393971
10.0923	0.58414817
10.2154	0.59154958
10.3385	0.59259576
10.4615	0.59878874
10.5846	0.62807220
10.7077	0.60851198
10.8308	0.61628830
10.9538	0.60394537
11.0769	0.59670079
11.2000	0.58594131
11.3231	0.58519679
11.4462	0.57614040
11.5692	0.60324687
11.6923	0.62638438
11.8154	0.62770784
11.9385	0.63200998
12.0615	0.59840590
12.1846	0.58052361
12.3077	0.57877141
12.4308	0.57379621
12.5538	0.58678430
12.6769	0.61316538
12.8000	0.62139761
12.9231	0.64446998
13.0462	0.62794381
13.1692	0.59639049
13.2923	0.56992626
13.4154	0.56695646
13.5385	0.56940848
13.6615	0.60959554
13.7846	0.61809313
13.9077	0.62751329
14.0308	0.63879484
14.1538	0.60984480
14.2769	0.59794945
14.4000	0.57128674
14.5231	0.56586075
14.6462	0.58091265
14.7692	0.61310494
14.8923	0.61707342
15.0154	0.63263440
15.1385	0.62080431
15.2615	0.60038573
15.3846	0.59885770
15.5077	0.58025205
15.6308	0.58178371
15.7538	0.59766567
15.8769	0.59371364
16.0000	0.61039180
16.1231	0.61762673
16.2462	0.61582088
16.3692	0.61009061
16.4923	0.60293394
16.6154	0.58953345
16.7385	0.60042405
16.8615	0.59823465
16.9846	0.57705480
17.1077	0.59519887
17.2308	0.59489805
17.3538	0.62738252
17.4769	0.63001639
17.6000	0.61349791
17.7231	0.59853125
17.8462	0.60029531
17.9692	0.58075249
18.0923	0.57514578
18.2154	0.57858276
18.3385	0.59205222
18.4615	0.63677865
18.5846	0.64265108
18.7077	0.62347293
18.8308	0.60840720
18.9538	0.58252823
19.0769	0.56754196
19.2000	0.57658964
19.3231	0.57503426
19.4462	0.61039513
19.5692	0.63124788
19.6923	0.63755161
19.8154	0.62359887
19.9385	0.61303639
20.0615	0.57452673
20.1846	0.57464671
20.3077	0.57469577
20.4308	0.58443302
20.5538	0.62167305
20.6769	0.61488098
20.8000	0.62211740
20.9231	0.61516392
21.0462	0.61087257
21.1692	0.59452558
21.2923	0.59500420
21.4154	0.57760417
21.5385	0.58891672
21.6615	0.60471487
21.7846	0.59577250
21.9077	0.61208552
22.0308	0.60853046
22.1538	0.61361182
22.2769	0.62588310
22.4000	0.61187994
22.5231	0.58988357
22.6462	0.57940257
22.7692	0.57149494
22.8923	0.58201891
23.0154	0.61002803
23.1385	0.61246610
23.2615	0.62710106
23.3846	0.63836598
23.5077	0.61687601
23.6308	0.60080200
23.7538	0.56946456
23.8769	0.55252695
24.0000	0.58100665
24.1231	0.60391128
24.2462	0.62286383
24.3692	0.63499355
24.4923	0.62840706
24.6154	0.61370063
24.7385	0.60387111
24.8615	0.57548440
24.9846	0.56596959
25.1077	0.58875066
25.2308	0.58845347
25.3538	0.62041974
25.4769	0.61941510
25.6000	0.61554432
25.7231	0.61370933
25.8462	0.60775745
25.9692	0.59841454
26.0923	0.59891212
26.2154	0.59269696
26.3385	0.57430524
26.4615	0.59453982
26.5846	0.58963621
26.7077	0.60972118
26.8308	0.62364501
26.9538	0.61894733
27.0769	0.62559348
27.2000	0.61805856
27.3231	0.59001637
27.4462	0.57163358
27.5692	0.56643611
27.6923	0.57045972
27.8154	0.60599810
27.9385	0.63095272
28.0615	0.63105506
28.1846	0.63969415
28.3077	0.61086696
28.4308	0.59079516
28.5538	0.58319855
28.6769	0.56492305
28.8000	0.57378238
28.9231	0.59624094
29.0462	0.61582243
29.1692	0.62999737
29.2923	0.62984854
29.4154	0.60172039
29.5385	0.60344976
29.6615	0.60656315
29.7846	0.59006023
29.9077	0.59086812
30.0308	0.57881427
30.1538	0.58349961
30.2769	0.60836077
30.4000	0.60508579
30.5231	0.61156768
30.6462	0.62330079
30.7692	0.62949091
30.8923	0.61628222
31.0154	0.60349160
31.1385	0.56573749
31.2615	0.56326592
31.3846	0.58117706
31.5077	0.58572245
31.6308	0.62581921
31.7538	0.63255686
31.8769	0.63672459
32.0000	0.62488335
32.1231	0.60415113
32.2462	0.57527548
32.3692	0.57484329
32.4923	0.57333070
32.6154	0.57996202
32.7385	0.61564833
32.8615	0.61462021
32.9846	0.62422073
33.1077	0.61986995
33.2308	0.60453141
33.3538	0.60809547
33.4769	0.60812098
33.6000	0.59022343
33.7231	0.58324254
33.8462	0.58062303
33.9692	0.57851791
34.0923	0.60209519
34.2154	0.61285305
34.3385	0.61403567
34.4615	0.63671291
34.5846	0.63205123
34.7077	0.61355501
34.8308	0.59333301
34.9538	0.55467570
35.0769	0.56023550
35.2000	0.58566618
35.3231	0.60594624
35.4462	0.61846614
35.5692	0.63230908
35.6923	0.62700707
35.8154	0.62486404
35.9385	0.61074972
36.0615	0.56873047
36.1846	0.58293915
36.3077	0.58294356
36.4308	0.59372383
36.5538	0.59862304
36.6769	0.59776890
36.8000	0.60451138
36.9231	0.62254649
37.0462	0.62598324
37.1692	0.61357790
37.2923	0.62586689
37.4154	0.59249318
37.5385	0.58096838
37.6615	0.56963235
37.7846	0.56609333
37.9077	0.58990639
38.0308	0.61106300
38.1538	0.62167782
38.2769	0.64198893
38.4000	0.64396912
38.5231	0.60894907
38.6462	0.58662277
38.7692	0.56991822
38.8923	0.56956869
39.0154	0.59310067
39.1385	0.59241152
39.2615	0.59479600
39.3846	0.62192476
39.5077	0.61902112
39.6308	0.62243497
39.7538	0.61498427
39.8769	0.60668534
40.0000	0.60454839
40.1231	0.60267270
40.2462	0.57669920
40.3692	0.56894165
40.4923	0.58109313
40.6154	0.57923502
40.7385	0.62018514
40.8615	0.63446140
40.9846	0.64010644
41.1077	0.63355720
41.2308	0.60581052
41.3538	0.58318490
41.4769	0.57845968
41.6000	0.57157493
41.7231	0.56461090
41.8462	0.59874254
41.9692	0.61339706
42.0923	0.62749714
42.2154	0.62697697
42.3385	0.60202563
42.4615	0.61454904
42.5846	0.62160820
42.7077	0.60325253
42.8308	0.58547294
42.9538	0.57796645
43.0769	0.57335925
43.2000	0.58312690
43.3231	0.59463775
43.4462	0.59517014
43.5692	0.63863182
43.6923	0.64468700
43.8154	0.63182521
43.9385	0.61616653
44.0615	0.58616102
44.1846	0.56979758
44.3077	0.56958443
44.4308	0.57282317
44.5538	0.58884889
44.6769	0.62014508
44.8000	0.61419272
44.9231	0.61536264
45.0462	0.62450802
45.1692	0.61743271
45.2923	0.61572117
45.4154	0.60762888
45.5385	0.58162230
45.6615	0.59169334
45.7846	0.57899934
45.9077	0.57005012
46.0308	0.57450217
46.1538	0.60513252
46.2769	0.62580162
46.4000	0.65216732
46.5231	0.63941723
46.6462	0.60517865
46.7692	0.60895252
46.8923	0.57568389
47.0154	0.57590652
47.1385	0.56951606
47.2615	0.58144838
47.3846	0.59324461
47.5077	0.62235916
47.6308	0.61374551
47.7538	0.61225945
47.8769	0.62365347
48.0000	0.61443508
48.1231	0.62790972
48.2462	0.61207950
48.3692	0.58142555
48.4923	0.56959367
48.6154	0.56921941
48.7385	0.56895709
48.8615	0.59536862
48.9846	0.61133629
49.1077	0.62828147
49.2308	0.64630294
49.3538	0.63804412
49.4769	0.60443342
49.6000	0.59942365
49.7231	0.57797074
49.8462	0.57581824
49.9692	0.58889896
50.0923	0.58119416
50.2154	0.59228170
50.3385	0.59805548
50.4615	0.60340095
50.5846	0.61413199
50.7077	0.64128470
50.8308	0.63022906
50.9538	0.62301451
51.0769	0.61113083
51.2000	0.57653874
51.3231	0.57637298
51.4462	0.56072003
51.5692	0.56361872
51.6923	0.59321231
51.8154	0.62336791
51.9385	0.63024604
52.0615	0.63052857
52.1846	0.62131703
52.3077	0.60482091
52.4308	0.62178087
52.5538	0.60034007
52.6769	0.58538836
52.8000	0.58406031
52.9231	0.57264048
53.0462	0.57674110
53.1692	0.58637583
53.2923	0.59222710
53.4154	0.61345291
53.5385	0.64693278
53.6615	0.64437222
53.7846	0.63122416
53.9077	0.61227435
54.0308	0.57479072
54.1538	0.57658327
54.2769	0.57902169
54.4000	0.57329220
54.5231	0.58826995
54.6462	0.59596926
54.7692	0.60373867
54.8923	0.61803508
55.0154	0.62382579
55.1385	0.61657667
55.2615	0.63378501
55.3846	0.62941456
55.5077	0.60318464
55.6308	0.59189755
55.7538	0.55990857
55.8769	0.55565065
56.0000	0.57640857
56.1231	0.58914131
56.2462	0.61354971
56.3692	0.63027954
56.4923	0.63226753
56.6154	0.61951894
56.7385	0.63048649
56.8615	0.60366654
56.9846	0.60205954
57.1077	0.59802192
57.2308	0.57773620
57.3538	0.58297694
57.4769	0.57260877
57.6000	0.57024848
57.7231	0.58225822
57.8462	0.62060523
57.9692	0.63003415
58.0923	0.65205657
58.2154	0.63730454
58.3385	0.60916722
58.4615	0.60430950
58.5846	0.58780372
58.7077	0.57184386
58.8308	0.57867533
58.9538	0.57662690
59.0769	0.58378857
59.2000	0.60043919
59.3231	0.60087383
59.4462	0.60232455
59.5692	0.62703794
59.6923	0.63896048
59.8154	0.63906258
59.9385	0.63742411
60.0615	0.58936381
60.1846	0.57394880
60.3077	0.57066357
60.4308	0.56667209
60.5538	0.57451940
60.6769	0.58896768
60.8000	0.60149235
60.9231	0.62008703
61.0462	0.63417614
61.1692	0.61089730
61.2923	0.62027740
61.4154	0.63321024
61.5385	0.61845720
61.6615	0.61533040
61.7846	0.57886958
61.9077	0.56349468
62.0308	0.56062692
62.1538	0.57440096
62.2769	0.57523841
62.4000	0.61204880
62.5231	0.63073701
62.6462	0.62748528
62.7692	0.63899219
62.8923	0.61674082
63.0154	0.61621124
63.1385	0.61133277
63.2615	0.59923822
63.3846	0.58109659
63.5077	0.58945584
63.6308	0.56783307
63.7538	0.56152856
63.8769	0.57327694
64.0000	0.59775126
64.1231	0.62592793
64.2462	0.65349704
