# TMM+ASM Intensity at z=40, theta=35.0 deg
# Wavelength: 520 nm, CG: 550um n=1.52
# AR: SiO2(34.6)/TiO2(25.9)/SiO2(20.7)/TiO2(169.5) nm
# Columns: x_um	intensity
# N_points: 4096
0.0000	0.57183969
0.1231	0.56991696
0.2462	0.57596874
0.3692	0.57734096
0.4923	0.58526778
0.6154	0.58629656
0.7385	0.58397222
0.8615	0.58177960
0.9846	0.57306004
1.1077	0.57071245
1.2308	0.57258797
1.3538	0.57778490
1.4769	0.58490539
1.6000	0.58637285
1.7231	0.57970107
1.8462	0.57845157
1.9692	0.57413572
2.0923	0.57797515
2.2154	0.58053803
2.3385	0.57785064
2.4615	0.57941735
2.5846	0.57740796
2.7077	0.57757103
2.8308	0.57964408
2.9538	0.57756513
3.0769	0.58071226
3.2000	0.58270550
3.3231	0.58148485
3.4462	0.57955718
3.5692	0.57498229
3.6923	0.57077098
3.8154	0.57665765
3.9385	0.57673037
4.0615	0.58511400
4.1846	0.58628350
4.3077	0.58456898
4.4308	0.58123100
4.5538	0.57217252
4.6769	0.56832731
4.8000	0.57168210
4.9231	0.57855994
5.0462	0.58611935
5.1692	0.58932734
5.2923	0.58142149
5.4154	0.58094990
5.5385	0.57343554
5.6615	0.57368386
5.7846	0.57340950
5.9077	0.57383609
6.0308	0.58125448
6.1538	0.58629084
6.2769	0.58610278
6.4000	0.58239132
6.5231	0.57410562
6.6462	0.57129633
6.7692	0.57652360
6.8923	0.57789940
7.0154	0.58290559
7.1385	0.58095193
7.2615	0.57803941
7.3846	0.58010024
7.5077	0.57701802
7.6308	0.57902807
7.7538	0.57969689
7.8769	0.57868481
8.0000	0.58042711
8.1231	0.57856381
8.2462	0.57572472
8.3692	0.57721275
8.4923	0.57640970
8.6154	0.57950425
8.7385	0.58389586
8.8615	0.58165604
8.9846	0.58365291
9.1077	0.57757437
9.2308	0.57251382
9.3538	0.57264465
9.4769	0.57242173
9.6000	0.58144939
9.7231	0.58656460
9.8462	0.58747143
9.9692	0.58294225
10.0923	0.57758808
10.2154	0.56930268
10.3385	0.57398683
10.4615	0.57157469
10.5846	0.58045900
10.7077	0.58360851
10.8308	0.58604836
10.9538	0.58688676
11.0769	0.58082581
11.2000	0.57333946
11.3231	0.57021797
11.4462	0.56968445
11.5692	0.57671714
11.6923	0.58598608
11.8154	0.58589584
11.9385	0.58719331
12.0615	0.57865280
12.1846	0.57410926
12.3077	0.57395643
12.4308	0.57311088
12.5538	0.57740784
12.6769	0.58093578
12.8000	0.58110768
12.9231	0.58514935
13.0462	0.58136916
13.1692	0.57832026
13.2923	0.57529157
13.4154	0.57345349
13.5385	0.57585216
13.6615	0.58281529
13.7846	0.58011198
13.9077	0.58386558
14.0308	0.57618284
14.1538	0.57689244
14.2769	0.57778215
14.4000	0.57905751
14.5231	0.58027017
14.6462	0.58089936
14.7692	0.57752502
14.8923	0.57915765
15.0154	0.57697952
15.1385	0.57551444
15.2615	0.57951921
15.3846	0.57860452
15.5077	0.58305055
15.6308	0.58288294
15.7538	0.57853740
15.8769	0.57877755
16.0000	0.57382351
16.1231	0.57382601
16.2462	0.57580769
16.3692	0.57971865
16.4923	0.58480793
16.6154	0.58873844
16.7385	0.58025527
16.8615	0.57687676
16.9846	0.57007802
17.1077	0.57172775
17.2308	0.57845151
17.3538	0.57898319
17.4769	0.58374166
17.6000	0.58479947
17.7231	0.58481336
17.8462	0.58197993
17.9692	0.57456470
18.0923	0.56656903
18.2154	0.57178652
18.3385	0.57610416
18.4615	0.58671397
18.5846	0.58910018
18.7077	0.58421737
18.8308	0.58100861
18.9538	0.57512319
19.0769	0.57038045
19.2000	0.57275003
19.3231	0.57244611
19.4462	0.58174145
19.5692	0.58635134
19.6923	0.58757043
19.8154	0.58388245
19.9385	0.57936609
20.0615	0.57004720
20.1846	0.57276291
20.3077	0.56949294
20.4308	0.57906449
20.5538	0.58521479
20.6769	0.58736980
20.8000	0.58655465
20.9231	0.57909465
21.0462	0.57304752
21.1692	0.57243365
21.2923	0.57306683
21.4154	0.57553411
21.5385	0.58276057
21.6615	0.58188331
21.7846	0.58750069
21.9077	0.58308774
22.0308	0.57756478
22.1538	0.57416290
22.2769	0.57001311
22.4000	0.57376981
22.5231	0.58064163
22.6462	0.58383065
22.7692	0.58593333
22.8923	0.58285916
23.0154	0.57610714
23.1385	0.57686216
23.2615	0.57431275
23.3846	0.57534325
23.5077	0.57835174
23.6308	0.57758850
23.7538	0.58375573
23.8769	0.58485031
24.0000	0.58103299
24.1231	0.57814687
24.2462	0.57245272
24.3692	0.57373714
24.4923	0.57876182
24.6154	0.58066535
24.7385	0.58164346
24.8615	0.58289391
24.9846	0.57753807
25.1077	0.58081132
25.2308	0.57580197
25.3538	0.57604504
25.4769	0.57774663
25.6000	0.57747501
25.7231	0.58087403
25.8462	0.58190328
25.9692	0.58044273
26.0923	0.57969767
26.2154	0.57793754
26.3385	0.57341403
26.4615	0.57889616
26.5846	0.57714468
26.7077	0.58242905
26.8308	0.58197594
26.9538	0.57841164
27.0769	0.57858545
27.2000	0.57742059
27.3231	0.57690823
27.4462	0.57915789
27.5692	0.57785225
27.6923	0.57845467
27.8154	0.58194637
27.9385	0.57935989
28.0615	0.58087593
28.1846	0.57851648
28.3077	0.57437098
28.4308	0.57775015
28.5538	0.57673043
28.6769	0.58117247
28.8000	0.58304822
28.9231	0.58007473
29.0462	0.57792222
29.1692	0.57764190
29.2923	0.57589668
29.4154	0.57985401
29.5385	0.57810652
29.6615	0.57661945
29.7846	0.58092177
29.9077	0.58018339
30.0308	0.58307779
30.1538	0.58024544
30.2769	0.57402486
30.4000	0.57566327
30.5231	0.57662344
30.6462	0.57990551
30.7692	0.58189243
30.8923	0.58045202
31.0154	0.57841456
31.1385	0.58199728
31.2615	0.57634234
31.3846	0.57899886
31.5077	0.57552314
31.6308	0.57591009
31.7538	0.58004916
31.8769	0.58011276
32.0000	0.58158910
32.1231	0.58186573
32.2462	0.57890648
32.3692	0.57678914
32.4923	0.57736838
32.6154	0.57371503
32.7385	0.58030635
32.8615	0.57931036
32.9846	0.58074206
33.1077	0.58165556
33.2308	0.57857913
33.3538	0.57948279
33.4769	0.57932734
33.6000	0.57592726
33.7231	0.57659805
33.8462	0.57667440
33.9692	0.57778543
34.0923	0.58362246
34.2154	0.58199239
34.3385	0.57982868
34.4615	0.57886010
34.5846	0.57439727
34.7077	0.57874012
34.8308	0.57881969
34.9538	0.57695061
35.0769	0.57849354
35.2000	0.57810664
35.3231	0.58186787
35.4462	0.58410603
35.5692	0.57983851
35.6923	0.57504213
35.8154	0.57659996
35.9385	0.57421064
36.0615	0.58170784
36.1846	0.57834649
36.3077	0.57866782
36.4308	0.58096862
36.5538	0.58122826
36.6769	0.58154839
36.8000	0.57927781
36.9231	0.57468879
37.0462	0.57500523
37.1692	0.57807875
37.2923	0.57594931
37.4154	0.58259565
37.5385	0.58048201
37.6615	0.58333325
37.7846	0.58202249
37.9077	0.57666844
38.0308	0.57510281
38.1538	0.57633018
38.2769	0.57542193
38.4000	0.57865489
38.5231	0.57868159
38.6462	0.58060908
38.7692	0.58643728
38.8923	0.58328050
39.0154	0.57817721
39.1385	0.57477653
39.2615	0.57008260
39.3846	0.57668853
39.5077	0.57858670
39.6308	0.58016539
39.7538	0.58343142
39.8769	0.58386141
40.0000	0.58287877
40.1231	0.58103895
40.2462	0.57367212
40.3692	0.57107902
40.4923	0.57416177
40.6154	0.57375312
40.7385	0.58365595
40.8615	0.58483237
40.9846	0.58705115
41.1077	0.58439213
41.2308	0.57692754
41.3538	0.57169068
41.4769	0.57289982
41.6000	0.57254267
41.7231	0.57679069
41.8462	0.58111238
41.9692	0.58272249
42.0923	0.59071726
42.2154	0.58586562
42.3385	0.57824183
42.4615	0.57140529
42.5846	0.56676781
42.7077	0.57273060
42.8308	0.57912421
42.9538	0.58185261
43.0769	0.58531034
43.2000	0.58800614
43.3231	0.58347321
43.4462	0.58202755
43.5692	0.57065052
43.6923	0.56801128
43.8154	0.57163990
43.9385	0.57551008
44.0615	0.58346498
44.1846	0.58741623
44.3077	0.58682698
44.4308	0.58588576
44.5538	0.57879215
44.6769	0.57019234
44.8000	0.57067895
44.9231	0.57109106
45.0462	0.57712084
45.1692	0.58345371
45.2923	0.58278358
45.4154	0.58731776
45.5385	0.58580744
45.6615	0.57946855
45.7846	0.57478774
45.9077	0.56847644
46.0308	0.57073325
46.1538	0.57801223
46.2769	0.58283991
46.4000	0.58303756
46.5231	0.58625215
46.6462	0.57884073
46.7692	0.58329338
46.8923	0.57644284
47.0154	0.57454586
47.1385	0.57259202
47.2615	0.57486874
47.3846	0.57739097
47.5077	0.58478260
47.6308	0.58232516
47.7538	0.58199775
47.8769	0.58076215
48.0000	0.57652706
48.1231	0.57983541
48.2462	0.57726616
48.3692	0.57488692
48.4923	0.57619494
48.6154	0.57586098
48.7385	0.57941794
48.8615	0.58366299
48.9846	0.58152884
49.1077	0.58176571
49.2308	0.58142418
49.3538	0.57752430
49.4769	0.57778639
49.6000	0.57457495
49.7231	0.57162839
49.8462	0.57748771
49.9692	0.57737237
50.0923	0.58385921
50.2154	0.58612031
50.3385	0.58510733
50.4615	0.58174050
50.5846	0.57764983
50.7077	0.56951618
50.8308	0.57153511
50.9538	0.57352680
51.0769	0.57679433
51.2000	0.58509684
51.3231	0.58393562
51.4462	0.58794159
51.5692	0.58581388
51.6923	0.57901120
51.8154	0.57170057
51.9385	0.56847745
52.0615	0.56778401
52.1846	0.57784194
52.3077	0.58387268
52.4308	0.58561748
52.5538	0.58902740
52.6769	0.58252734
52.8000	0.58093709
52.9231	0.57612389
53.0462	0.56994897
53.1692	0.56982434
53.2923	0.57364631
53.4154	0.57821852
53.5385	0.58662212
53.6615	0.58761382
53.7846	0.58321977
53.9077	0.58212346
54.0308	0.57508725
54.1538	0.57499576
54.2769	0.57575506
54.4000	0.57313448
54.5231	0.57673758
54.6462	0.57879591
54.7692	0.58104342
54.8923	0.58449239
55.0154	0.58323324
55.1385	0.57892179
55.2615	0.58049339
55.3846	0.57682174
55.5077	0.57683361
55.6308	0.57747370
55.7538	0.57250518
55.8769	0.57638544
56.0000	0.57753485
56.1231	0.58085853
56.2462	0.58514440
56.3692	0.58605504
56.4923	0.58208370
56.6154	0.58080959
56.7385	0.57376826
56.8615	0.57068586
56.9846	0.57373989
57.1077	0.57146055
57.2308	0.58004999
57.3538	0.58280158
57.4769	0.58766395
57.6000	0.58870536
57.7231	0.58564144
57.8462	0.57477105
57.9692	0.57230848
58.0923	0.56692070
58.2154	0.57112992
58.3385	0.57836807
58.4615	0.58080071
58.5846	0.58621067
58.7077	0.58781660
58.8308	0.58403122
58.9538	0.58285892
59.0769	0.57564259
59.2000	0.57042438
59.3231	0.57102072
59.4462	0.57349396
59.5692	0.57769454
59.6923	0.58534861
59.8154	0.58188832
59.9385	0.58282417
60.0615	0.58194840
60.1846	0.57946587
60.3077	0.58162946
60.4308	0.57709861
60.5538	0.57325387
60.6769	0.57398009
60.8000	0.57595283
60.9231	0.57705390
61.0462	0.58138865
61.1692	0.57850832
61.2923	0.58222401
61.4154	0.58732587
61.5385	0.58336508
61.6615	0.58271098
61.7846	0.57345372
