# TMM+ASM Intensity at z=40, theta=10.0 deg
# Wavelength: 520 nm, CG: 550um n=1.52
# AR: SiO2(34.6)/TiO2(25.9)/SiO2(20.7)/TiO2(169.5) nm
# Columns: x_um	intensity
# N_points: 4096
0.0000	0.67689055
0.1231	0.70006758
0.2462	0.69601417
0.3692	0.70169008
0.4923	0.73603171
0.6154	0.74136966
0.7385	0.72370112
0.8615	0.71427649
0.9846	0.69849706
1.1077	0.69488668
1.2308	0.68690228
1.3538	0.65183741
1.4769	0.62455380
1.6000	0.60679972
1.7231	0.59783792
1.8462	0.59503084
1.9692	0.57198107
2.0923	0.55510277
2.2154	0.56255335
2.3385	0.57669282
2.4615	0.58889633
2.5846	0.59715021
2.7077	0.60479921
2.8308	0.62280387
2.9538	0.65644687
3.0769	0.68479908
3.2000	0.69302893
3.3231	0.69584936
3.4462	0.70850879
3.5692	0.74357295
3.6923	0.74858558
3.8154	0.71560347
3.9385	0.72215331
4.0615	0.72246051
4.1846	0.69436103
4.3077	0.69512790
4.4308	0.67219824
4.5538	0.62781441
4.6769	0.61550891
4.8000	0.61659098
4.9231	0.60594618
5.0462	0.56342369
5.1692	0.54793179
5.2923	0.57784444
5.4154	0.56744123
5.5385	0.55865967
5.6615	0.58818388
5.7846	0.58675951
5.9077	0.59027219
6.0308	0.63766032
6.1538	0.66717553
6.2769	0.65829992
6.4000	0.66581094
6.5231	0.71045822
6.6462	0.73941541
6.7692	0.72621244
6.8923	0.72356832
7.0154	0.74190515
7.1385	0.73722529
7.2615	0.72675568
7.3846	0.72879153
7.5077	0.70262659
7.6308	0.66753244
7.7538	0.66420949
7.8769	0.66240227
8.0000	0.63049227
8.1231	0.59007466
8.2462	0.57815135
8.3692	0.58684057
8.4923	0.57486427
8.6154	0.55009025
8.7385	0.55184883
8.8615	0.56328845
8.9846	0.56057405
9.1077	0.58312017
9.2308	0.60915846
9.3538	0.59784484
9.4769	0.61455303
9.6000	0.66092044
9.7231	0.68711746
9.8462	0.69035059
9.9692	0.68499970
10.0923	0.72500265
10.2154	0.75549817
10.3385	0.73012680
10.4615	0.74558496
10.5846	0.75087208
10.7077	0.72048426
10.8308	0.73332453
10.9538	0.73197794
11.0769	0.69870824
11.2000	0.66493374
11.3231	0.64986277
11.4462	0.66460061
11.5692	0.62840557
11.6923	0.57919222
11.8154	0.58414549
11.9385	0.57854486
12.0615	0.55948818
12.1846	0.55449408
12.3077	0.55427134
12.4308	0.54586071
12.5538	0.54575211
12.6769	0.58255690
12.8000	0.59525222
12.9231	0.58265233
13.0462	0.60271323
13.1692	0.64212763
13.2923	0.67458552
13.4154	0.66983497
13.5385	0.68120539
13.6615	0.72397232
13.7846	0.72312760
13.9077	0.73890126
14.0308	0.76565492
14.1538	0.74126720
14.2769	0.73725998
14.4000	0.75516540
14.5231	0.75813699
14.6462	0.73139352
14.7692	0.69114983
14.8923	0.69849277
15.0154	0.69862086
15.1385	0.65572011
15.2615	0.63292015
15.3846	0.61862057
15.5077	0.59458065
15.6308	0.58359873
15.7538	0.58051097
15.8769	0.55450857
16.0000	0.53367430
16.1231	0.54428321
16.2462	0.55148882
16.3692	0.55551785
16.4923	0.54888666
16.6154	0.54882228
16.7385	0.58701551
16.8615	0.60419065
16.9846	0.61251718
17.1077	0.63262928
17.2308	0.64339173
17.3538	0.67732584
17.4769	0.70158750
17.6000	0.71405166
17.7231	0.73078662
17.8462	0.72215730
17.9692	0.75267720
18.0923	0.78689897
18.2154	0.75574350
18.3385	0.74260217
18.4615	0.76201344
18.5846	0.76332635
18.7077	0.73770642
18.8308	0.72226971
18.9538	0.71327204
19.0769	0.67856127
19.2000	0.67324275
19.3231	0.67033899
19.4462	0.62403232
19.5692	0.59717906
19.6923	0.58965087
19.8154	0.58944893
19.9385	0.56917816
20.0615	0.53208244
20.1846	0.54011106
20.3077	0.53974760
20.4308	0.53095722
20.5538	0.54810220
20.6769	0.53417480
20.8000	0.53679359
20.9231	0.56646091
21.0462	0.58111954
21.1692	0.60030812
21.2923	0.60168260
21.4154	0.61553985
21.5385	0.66365379
21.6615	0.68087655
21.7846	0.68533170
21.9077	0.70609009
22.0308	0.72262216
22.1538	0.74556810
22.2769	0.76643020
22.4000	0.76499641
22.5231	0.76193535
22.6462	0.77097011
22.7692	0.78288245
22.8923	0.78472394
23.0154	0.76294732
23.1385	0.74074310
23.2615	0.74505645
23.3846	0.74524271
23.5077	0.71591306
23.6308	0.68331122
23.7538	0.66849107
23.8769	0.65992785
24.0000	0.64076149
24.1231	0.61470807
24.2462	0.58913237
24.3692	0.57259357
24.4923	0.56034738
24.6154	0.55508685
24.7385	0.54613471
24.8615	0.51278144
24.9846	0.51162910
25.1077	0.53853583
25.2308	0.52446026
25.3538	0.51897913
