# TMM+ASM Intensity at z=40, theta=25.0 deg
# Wavelength: 520 nm, CG: 550um n=1.52
# AR: SiO2(34.6)/TiO2(25.9)/SiO2(20.7)/TiO2(169.5) nm
# Columns: x_um	intensity
# N_points: 4096
0.0000	0.64026868
0.1231	0.62022388
0.2462	0.61159611
0.3692	0.60670125
0.4923	0.58676004
0.6154	0.60366213
0.7385	0.60684508
0.8615	0.61436105
0.9846	0.65047640
1.1077	0.66389018
1.2308	0.65066415
1.3538	0.62015957
1.4769	0.59334886
1.6000	0.57665014
1.7231	0.59593445
1.8462	0.60474986
1.9692	0.61209893
2.0923	0.64955837
2.2154	0.65147668
2.3385	0.63707173
2.4615	0.62741309
2.5846	0.61067200
2.7077	0.61145711
2.8308	0.61592567
2.9538	0.59531742
3.0769	0.59404927
3.2000	0.60821182
3.3231	0.61888927
3.4462	0.63220245
3.5692	0.65796006
3.6923	0.65117455
3.8154	0.63273561
3.9385	0.61998355
4.0615	0.57847071
4.1846	0.58439910
4.3077	0.58967185
4.4308	0.60402226
4.5538	0.64197624
4.6769	0.65728557
4.8000	0.64595515
4.9231	0.62392658
5.0462	0.62818044
5.1692	0.61020792
5.2923	0.61098814
5.4154	0.60018706
5.5385	0.58656287
5.6615	0.61627406
5.7846	0.61498928
5.9077	0.61475033
6.0308	0.63745803
6.1538	0.65842682
6.2769	0.65567034
6.4000	0.63215995
6.5231	0.59752911
6.6462	0.57481265
6.7692	0.59105241
6.8923	0.59751803
7.0154	0.60650897
7.1385	0.64538074
7.2615	0.65135360
7.3846	0.64576906
7.5077	0.63759792
7.6308	0.61262101
7.7538	0.60946006
7.8769	0.61364442
8.0000	0.60111421
8.1231	0.59485632
8.2462	0.60286164
8.3692	0.60509849
8.4923	0.62347388
8.6154	0.65505993
8.7385	0.65335536
8.8615	0.64500201
8.9846	0.63654310
9.1077	0.59572542
9.2308	0.58631301
9.3538	0.58229375
9.4769	0.58527476
9.6000	0.62335825
9.7231	0.64313161
9.8462	0.64627111
9.9692	0.63275534
10.0923	0.64006943
10.2154	0.62301642
10.3385	0.62477189
10.4615	0.61763906
10.5846	0.58478403
10.7077	0.60246837
10.8308	0.59281254
10.9538	0.60152107
11.0769	0.61954606
11.2000	0.64732569
11.3231	0.66061467
11.4462	0.66012955
11.5692	0.63601643
11.6923	0.58957791
11.8154	0.59430730
11.9385	0.58846766
12.0615	0.59307003
12.1846	0.61251044
12.3077	0.62267029
12.4308	0.62957346
12.5538	0.64747310
12.6769	0.63553840
12.8000	0.62921429
12.9231	0.64178932
13.0462	0.62579018
13.1692	0.60635251
13.2923	0.58433878
13.4154	0.57837731
13.5385	0.58419520
13.6615	0.63097787
13.7846	0.63856292
13.9077	0.64887673
14.0308	0.66458631
14.1538	0.63459712
14.2769	0.62249243
14.4000	0.59990615
14.5231	0.59372449
14.6462	0.59614170
14.7692	0.61104512
14.8923	0.60198665
15.0154	0.60470498
15.1385	0.63048398
15.2615	0.63229555
15.3846	0.65284413
